base_dim,base_layer,time_base,avg_time_base,time_head,avg_time_head,train_time,eval_time,psnr_avg
16,1,213.4848358631134,0.002056892146286862,37.10715627670288,0.0007304414534497919,1004.3183226585388,78.1686623096466,34.69256412506103
16,2,201.215891122818,0.0019386828318992003,37.71001362800598,0.0007423084905416425,983.5288379192352,79.84215474128723,34.464120101928714
16,3,188.06612849235535,0.0018119869784406527,37.93594455718994,0.0007467558622308605,846.5165264606476,80.45806860923767,34.31028171539307
32,1,239.33477997779846,0.0023059522109817755,38.01105499267578,0.0007482343850057239,971.6533446311951,80.14712715148926,34.89785138130188
32,2,235.48708868026733,0.002268880322577005,37.68589186668396,0.00074183366206736,938.2215704917908,77.92487597465515,34.76185754776001
32,3,256.2776370048523,0.002469193920462976,38.10828495025635,0.0007501483228727062,983.7244579792023,80.94644570350647,34.66844944953918
64,1,264.79762625694275,0.0025512826501295186,38.25423312187195,0.0007530212618230339,981.9134511947632,80.05756402015686,34.868004322052
64,2,288.93922996520996,0.002783883129060699,37.54819178581238,0.0007391230839119777,1025.4917640686035,77.56384658813477,34.8984907913208
64,3,283.51894521713257,0.002731659555035481,37.635751247406006,0.0007408466614319798,1015.2602481842041,81.92935347557068,34.443818922042844
